Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,13,3,1,1491,285,249,173,211.0,25.3,1116,178,647.0,312.7,136615384.6154,307692.3076923,3.2,3.8,13,0,13,3.2,3.8,13,0,13,3.2,3.8,13,0,0,0,0,0,60,20,230769.23077,76923.07692,173,1116,444.0,301.5,363609.0,0,0,0,0,0,0,0,0,0.0,444.0,211.0,647.0,60,0,0,0,0,0,0,3,1491,1,285,65535,65535,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
3389,29587040,460,301,280140,3913,366,357,361.5,3.0,865,348,606.5,172.3,9600.5886,25.720721,38879.2,21606.8,29587040,14110,29587040,38879.2,21606.8,29587040,14110,29587040,38879.2,21606.8,29587040,14110,1,0,0,0,9200,6020,15.54735,10.17337,348,865,373.3,363.0,100264593.3,1,0,0,1,0,0,0,0,1.0,373.3,361.5,606.5,9200,0,0,0,0,0,0,460,280140,301,3913,8192,256,459,20,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
53,374,4,0,3260,0,1170,600,885.0,190.0,1287,1266,1276.5,7.0,8716577.5401,10695.1871658,93.5,165.6,374,46,374,93.5,165.6,374,46,0,0,0,0,0,0,0,0,0,80,0,10695.18717,0.0,600,1287,815.0,815.0,2656900.0,0,0,0,0,1,0,0,0,0.0,815.0,885.0,1276.5,80,0,0,0,0,0,0,4,3260,0,0,29,512,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
18715,60855701,651,186,242823,140988,767,214,490.5,184.3,1372,546,959.0,275.3,6306.9029,13.753847,72706.9,102054.4,60855701,9358,60855701,72706.9,102054.4,60855701,9358,60855701,72706.9,102054.4,60855701,9358,1,0,0,0,13020,3720,10.69744,3.05641,214,1372,458.6,121.7,12389925.0,0,0,0,1,1,0,0,0,0.0,458.6,490.5,959.0,13020,0,0,0,0,0,0,651,242823,186,140988,512,128,650,20,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
8080,113125670,787,397,121198,186193,105,103,104.0,0.7,646,410,528.0,78.7,2717.2524,10.4662364,95545.3,51162.8,113125670,27653,113125670,95545.3,51162.8,113125670,27653,113125670,95545.3,51162.8,113125670,27653,1,0,0,0,15740,7940,6.95686,3.50937,103,646,259.6,54.9,3567863.2,1,0,1,1,1,0,0,0,1.0,259.6,104.0,528.0,15740,0,0,0,0,0,0,787,121198,397,186193,31,128,786,20,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - XSS
22,72340308,270,382,333990,335014,1235,817,1026.0,139.3,741,224,482.5,172.3,9248.0115,9.0129558,110951.4,221309.4,72340308,18131,72340308,110951.4,221309.4,72340308,18131,72340308,110951.4,221309.4,72340308,18131,0,0,0,0,5400,7640,3.73236,5.2806,224,1235,1026.1,1.6,1608.2,1,0,0,0,0,0,0,0,1.0,1026.1,1026.0,482.5,5400,0,0,0,0,0,0,270,333990,382,335014,65535,512,269,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
21,198,4,3,4492,1542,1173,23,598.0,383.3,1393,234,813.5,386.3,30474747.4747,35353.5353535,28.3,38.6,198,17,198,28.3,38.6,198,17,198,28.3,38.6,198,17,1,0,0,0,80,60,20202.0202,15151.51515,23,1393,862.0,421.4,1243214.3,1,1,0,1,1,0,0,0,1.0,862.0,598.0,813.5,80,0,0,0,0,0,0,4,4492,3,1542,0,256,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
3389,102268836,183,259,47031,331520,651,519,585.0,44.0,1247,407,827.0,280.0,3701.5284,4.3219422,231377.5,70727.1,102268836,199887,102268836,231377.5,70727.1,102268836,199887,102268836,231377.5,70727.1,102268836,199887,1,0,0,0,3660,5180,1.7894,2.53254,407,1247,856.5,643.6,183108577.2,0,0,0,1,0,0,0,0,1.0,856.5,585.0,827.0,3660,0,0,0,0,0,0,183,47031,259,331520,64,128,182,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
8080,124,5,0,1075,0,181,136,158.5,15.0,257,65,161.0,64.0,8669354.8387,40322.5806452,24.8,32.7,124,17,124,24.8,32.7,124,17,0,0,0,0,0,0,0,0,0,100,0,40322.58065,0.0,65,257,215.0,215.0,231125.0,0,1,1,0,0,0,0,0,0.0,215.0,158.5,161.0,100,0,0,0,0,0,0,5,1075,0,0,255,329,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,69467854,463,61,253261,28060,171,86,128.5,28.3,43,37,40.0,2.0,4049.6573,7.5430573,132572.2,146869.2,69467854,57728,69467854,132572.2,146869.2,69467854,57728,69467854,132572.2,146869.2,69467854,57728,0,0,0,0,9260,1220,6.66495,0.8781,37,171,536.9,429.8,96785287.0,0,0,0,0,0,0,0,0,0.0,536.9,128.5,40.0,9260,0,0,0,0,0,0,463,253261,61,28060,128,29,462,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
