srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
164.45.185.232,22881,200.139.74.222,8080,icmp,REQ,7.477273,33727,145775,62,252,8,2,dns,4510.6017,19495.744,29,175,0,0,0,0,1163,833,3,992,11.111279,47.589143,1421943601,1421950447,263.237837,437.755962,0.0,0.0,0.0,0,4,3,0,0,4,17,3,5,2,3,5,,0
123.65.132.2,46024,132.79.64.36,22,tcp,URN,53.794215,36828,29970,128,253,17,6,smtp,684.6089,557.1231,44,81,0,255,3035626025,786427950,837,370,2,817,23.433291,14.340983,1421983482,1421995649,470.838505,440.693855,0.814023,0.152594,0.428961,0,2,3,0,0,11,3,1,1,3,1,2,Fuzzers,1
123.254.63.103,1934,158.97.3.182,22,tcp,PAR,5.075107,77626,2961,254,31,44,62,snmp,15295.4411,583.436,74,141,0,255,4143128978,966662179,1049,21,0,375,41.970447,25.684224,1421934086,1421982821,247.753931,85.241982,0.969728,0.168979,0.339532,0,6,0,0,0,10,10,4,3,2,1,1,,0
15.182.3.157,31193,85.152.181.27,53,arp,ACC,13.047792,86505,11808,255,254,23,102,smtp,6629.8574,904.9807,79,164,0,0,0,0,1095,72,0,103,21.540191,9.877222,1421996763,1421994826,449.254979,205.359526,0.0,0.0,0.0,0,3,0,0,0,5,9,2,4,2,2,5,Backdoors,1
36.181.222.1,24566,223.101.56.48,443,arp,FIN,53.531603,36156,61064,255,31,34,50,ssh,675.4141,1140.7093,138,68,0,0,0,0,262,898,5,339,45.049891,8.015625,1421953496,1421990236,479.849427,491.464351,0.0,0.0,0.0,0,0,3,0,0,16,18,4,2,2,2,9,Reconnaissance,1
197.121.26.173,55408,88.219.4.111,22,arp,RST,7.88506,8344,1590,128,29,9,3,dns,1058.2037,201.6472,28,5,0,0,0,0,298,318,3,253,30.880658,36.462429,1421951906,1421960112,140.569418,57.509995,0.0,0.0,0.0,0,2,1,0,0,14,7,4,1,3,3,9,Backdoors,1
34.205.19.70,13618,38.218.9.157,80,udp,CON,11.32014,203528,48944,64,30,13,97,ssh,17979.2829,4323.6214,152,161,0,0,0,0,1339,304,4,313,35.007943,49.006217,1421956482,1421971477,213.037928,30.674862,0.0,0.0,0.0,0,3,0,0,0,10,4,3,3,2,2,12,Fuzzers,1
55.146.241.71,60562,156.51.220.47,443,udp,ECO,19.190453,1599,46,31,252,5,21,ftp-data,83.3227,2.397,13,46,0,0,0,0,123,1,0,99,33.447377,34.148076,1421944493,1421970826,180.284354,405.017623,0.0,0.0,0.0,0,5,2,0,0,8,9,2,5,2,1,15,DoS,1
181.228.50.19,62746,140.175.154.185,22,udp,REQ,37.773518,19220,36030,64,62,136,23,http,508.8221,953.8428,155,30,0,0,0,0,124,1201,0,130,9.585336,27.524784,1421960513,1422000859,487.563079,447.456514,0.0,0.0,0.0,0,3,0,0,0,14,3,4,4,3,3,13,,0
190.203.253.175,35919,223.38.84.112,8080,udp,PAR,35.94922,113307,3069,31,62,98,24,ssh,3151.8625,85.3704,179,33,0,0,0,0,633,93,4,278,10.34623,0.180027,1422002373,1421955962,296.056378,4.430662,0.0,0.0,0.0,0,6,3,0,0,17,17,3,3,1,2,12,,0
